model name,instance size,dataset name,num trials,avg rmse,min rmse,max rmse,std rmse,median rmse
word2vec regression,2,data_v26.csv,15,,321.48650626216164,364.66882586261346,11.283930992399036,336.7806527459361
word2vec regression,2,data_v26.csv,15,,325.338793128317,365.9524986526031,12.245138210591932,343.06598010778595
word2vec regression,2,data_v26.csv,15,,326.5488775193073,371.7239207444243,11.610581432252813,352.5890361822329
word2vec,20,data_v39.csv,15,,620.1309164067741,793.4317627807559,42.491470583277305,682.6049745585692
